tmdb_id,title,release_date,year,overview,vote_average,vote_count,popularity,poster_path
980477,Ne Zha 2,2025-01-29,2025,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",8.029,469,25.1379,/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg
1305717,Hunting Grounds,2025-05-16,2025,"Desperate to find refuge for her children, Chloe Marvino runs away from her Mafia tied husband, and finds shelter in a cabin with a recluse drifter named Jake. But as her husband's henchmen draw closer to her, it turns out that Jake is the biggest enemy of them all.",6.667,63,25.4488,/cgZjpqRQt9sk6XMCwZ3B1NPAaoy.jpg
338969,The Toxic Avenger Unrated,2025-08-28,2025,"When a downtrodden janitor, Winston Gooze, is exposed to a catastrophic toxic accident, he’s transformed into a new kind of hero: The Toxic Avenger. Now, Toxie must rise from outcast to savior, taking on ruthless corporate overlords and corrupt forces who threaten his son, his friends, and his community.",6.1,215,24.1537,/cCWojb6N9UcTzNVtS4bOM3vQ30x.jpg
507244,Afterburn,2025-08-20,2025,"Set against the backdrop of a postapocalyptic Earth whose Eastern Hemisphere was destroyed by a massive solar flare, leaving what life remains mutated from radiation and fallout. The story revolves around a group of treasure hunters who extract such objects as the Mona Lisa, the Rosetta Stone and the Crown Jewels while facing rival hunters, mutants and pirates.",6.828,131,27.0657,/hrze9JXp2QJpc2WjLfSUtRxyYSb.jpg
1029575,The Family Plan,2023-12-14,2023,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",7.25,1697,22.2119,/jLLtx3nTRSLGPAKl4RoIv1FbEBr.jpg
639988,No Other Choice,2025-09-24,2025,"After being laid off and humiliated by a ruthless job market, a veteran paper mill manager descends into violence in a desperate bid to reclaim his dignity.",7.8,75,25.9849,/vc2S0dvgpsM0XfSiXZDMVkRCSSU.jpg
604079,The Long Walk,2025-09-10,2025,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",6.935,856,25.7435,/wobVTa99eW0ht6c1rNNzLkazPtR.jpg
845781,Red One,2024-10-31,2024,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",7.035,2745,22.6261,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
1186350,Marco,2024-12-20,2024,"The adoptive son of the Adattu family, Marco, sets off on a ruthless quest for vengeance after his brother is brutally murdered, finding only betrayal, loss and unimaginable brutality at every step.",6.597,88,22.9025,/il3ao5gcF6fZNqo1o9o7lusmEyU.jpg
1009640,Valiant One,2025-01-30,2025,"With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",6.831,83,23.3446,/sT8Z14RDCAd6szzxzWFAU4xcMwg.jpg
